Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Magnesium and alloys,D (Poor),D (Poor),,,6.5,1.4,50
Noble metals,0.05 max ,2 max ,P04995,200-400,8.8,7.8,96.1
Noble metals,0.05 max ,2 max ,P07010,200-400,7.9,10,78.6
Titanium and alloys,0.001,0.04,,149,7.4,8.5,67.9
Titanium and alloys,A (Resistant),A (Resistant),,149,5.6,7.5,32.5
Zirconium and alloys,0.05 max ,2 max ,R60702,Boiling,5.6,6.6,32.5
Austenitic,0.003,0.1,S30400,61,5.2,4.2,24.6
Austenitic,0.1,4.6,S31600,118,8.5,7.3,89.3
Austenitic,A (Resistant),A (Resistant),S31600,104,7.4,7.2,68.1
Austenitic,A (Resistant),A (Resistant),S31600,92,7.8,6.3,76.6
Austenitic,0.003 max ,0.1 max ,S31600,92,5.1,8,21.6
Austenitic,0.003,0.1,S31600,99-102,8.9,4.5,97.6
Austenitic,0.003,0.1,S31600,61,8.3,1.2,86.6
Austenitic,A (Resistant),A (Resistant),S31600,66,5.8,5.6,37
Austenitic,A (Resistant),A (Resistant),S31700,92,5.7,2.7,34.5
Austenitic,A (Resistant),A (Resistant),S31700,92,5.7,3.8,34.7
Austenitic,0.003,0.1,S31700,104,6.2,0.2,44.3
Austenitic,0.018,0.7,S31700,118,7.1,3.8,62
Austenitic,0.003 max ,0.1 max ,S31700,66,6.7,8.1,54.6
Precipitation hardening,A (Resistant),A (Resistant),S36300,Room,6.2,5.4,43.3
Aluminum-magnesium,0.0032,0.12,,22,7.4,0.1,68.9
Aluminum-magnesium,,,,22,5.6,4.7,31.2
Aluminum-magnesium,0.0033,0.13,,22,6.2,2.9,43.4
Aluminum-magnesium,0.004,0.16,,22,6.5,4.8,49.3
99.0% min Al,C (Questionable),C (Questionable),A91350,0-118,2.1,4,56.5
Aluminum-manganese,C (Questionable),C (Questionable),,0-118,3.2,9.3,82.8
Alloy steel,0.03,1,,80,1.2,0.4,36
